Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,Pk_save%,PSxG,PSxG/SoT,PSxG+/-,/90,launch_cmp,launch_att,launch_cmp%,pass_att,Thr,launch_pass%,pass_avglen,Gk_att,Gk_launched%,Gk_avglen,Stp,Stp%,#OPA,#OPA/90,AvgDist
Stefanos Kapino,GRE,GK,Arminia,Bundesliga,27,1994,1,1,90,1,0,0,4,4,100,1,0,0,1,100,0,0,0,,1,0.26,1,1.02,7,16,43.8,21,3,38.1,37.3,10,80,48.9,1,3.2,2,2,18.4
Eiji Kawashima,JPN,GK,Strasbourg,Ligue 1,38,1983,1,1,90,1,0,0,1,1,100,1,0,0,1,100,0,0,0,,0.1,0.07,0.1,0.07,3,6,50,23,5,13,26,7,42.9,31.7,2,16.7,0,0,12
Caoimhín Kelleher,IRL,GK,Liverpool,Premier League,22,1998,2,2,180,2,2,1,8,6,75,1,1,0,1,50,0,0,0,,2.2,0.28,0.2,0.11,2,10,20,78,13,11.5,22.7,13,7.7,23,0,0,3,1.5,17.1
Kristoffer Klaesson,NOR,GK,Leeds United,Premier League,20,2000,1,0,36,0.4,0,0,4,4,100,0,0,0,0,,0,0,0,,0.6,0.14,0.6,1.38,1,3,33.3,8,2,25,30.4,3,33.3,28.7,0,0,2,5,23.7
Gregor Kobel,SUI,GK,Dortmund,Bundesliga,23,1997,29,29,2565,28.5,39,1.37,110,73,67.3,19,3,6,7,24.1,3,3,0,0,37.4,0.32,0.4,0.02,77,240,32.1,836,142,20.5,27.5,185,37.3,35.4,17,5,49,1.72,16.1
Tim Krul,NED,GK,Norwich City,Premier League,33,1988,29,29,2610,29,62,2.14,165,105,66.7,4,5,20,5,17.2,8,7,0,0,48.3,0.27,-11.7,-0.4,134,399,33.6,847,168,34.5,34.3,224,47.8,40.1,14,3.2,19,0.66,12.6
Alban Lafont,FRA,GK,Nantes,Ligue 1,22,1999,38,38,3420,38,48,1.26,155,105,71.6,15,10,13,8,21.1,7,4,3,42.9,52.2,0.3,5.2,0.14,206,607,33.9,824,137,46.2,39.2,288,78.5,55.5,27,5.5,56,1.47,14.9
Jean-Louis Leca,FRA,GK,Lens,Ligue 1,35,1985,27,27,2313,25.7,33,1.28,100,66,70,10,7,8,5,18.5,4,3,1,25,31.8,0.29,-1.2,-0.05,108,259,41.7,535,133,35.3,31.3,199,35.2,33.1,18,6.1,24,0.93,14.2
Jeremías Ledesma,ARG,GK,Cádiz,La Liga,28,1993,38,38,3420,38,51,1.34,170,117,76.5,8,15,15,13,34.2,13,11,2,15.4,52.8,0.24,1.8,0.05,272,792,34.3,840,119,63.3,46,313,83.1,60.2,42,7.2,28,0.74,12.1
Bernd Leno,GER,GK,Arsenal,Premier League,29,1992,4,4,360,4,9,2.25,19,10,52.6,1,0,3,1,25,0,0,0,,9.4,0.5,0.4,0.11,17,53,32.1,77,13,35.1,33.8,37,70.3,50.4,6,8.2,1,0.25,7.3
